,Company/Brand,Stage,Amount,About,Year,Headquarter,Sector,Founded,Investor
28,Carcrew,Early-Stage Funding,2000000.0,India's Online Auto Repair Marketplace,2018,Mumbai,IT & Technology,2018.0,Undisclosed
29,NicheAI,Special Funding Types,4000000.0,Early stage Artificial Intelligence (AI) start up.,2018,Hyderabad,IT & Technology,2018.0,Undisclosed
30,Chariot Tech,Early-Stage Funding,292000.0,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,New Delhi,IT & Technology,2018.0,Undisclosed
31,Ideal Insurance Brokers/ 121Policy.com,Early-Stage Funding,1000000.0,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,Kolkata,Financial Services,2018.0,Undisclosed
32,Loanzen,Early-Stage Funding,584000.0,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,Bangalore,Business Services,2018.0,Undisclosed
33,Mojro Technologies,Early-Stage Funding,650000.0,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,Bangalore,Business Services,2018.0,Undisclosed
34,Elemential,Early-Stage Funding,1000000.0,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,Mumbai,IT & Technology,2018.0,Undisclosed
35,Loadshare,Mid-Stage Funding,5000000.0,LoadShare is India’s fastest growing logistics company,2018,Bangalore,Business Services,2018.0,Undisclosed
36,Yumlane,Mid-Stage Funding,4000000.0,Food startup Yumlane operated by QwikPik Technology,2018,Mumbai,Consumer Goods,2018.0,Undisclosed
37,Kriger Campus,Early-Stage Funding,438000.0,A Education Start Up.,2018,New Delhi,Education,2018.0,Undisclosed
38,Pipa+Bella,Mid-Stage Funding,1000000.0,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,Mumbai,Retail,2018.0,Undisclosed
39,Kaleidofin,Early-Stage Funding,2800000.0,A fintech platform.,2018,Chennai,Business Services,2018.0,Undisclosed
40,Chakr Innovation,Early-Stage Funding,584000.0,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,New Delhi,Energy,2018.0,Undisclosed
41,IndigoLearn,Early-Stage Funding,150000.0,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,Hyderabad,Education,2018.0,Undisclosed
42,UClean,Early-Stage Funding,584000.0,UClean is a tech enabled laundry service provider.,2018,India,Business Services,2018.0,Undisclosed
43,Coutloot,Early-Stage Funding,1000000.0,The Fashion Re-commerce platform.,2018,Mumbai,IT & Technology,2018.0,Undisclosed
44,Letstrack,Early-Stage Funding,1700000.0,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,New Delhi,IT & Technology,2018.0,Undisclosed
45,Pooltoo,Early-Stage Funding,584000.0,Pooltoo offers a premium ride sharing platform.,2018,New Delhi,Transportation & Logistics,2018.0,Undisclosed
46,Finzy,Early-Stage Funding,1300000.0,finzy is the premier peer to peer lending solution in India.,2018,Bangalore,Financial Services,2018.0,Undisclosed
47,Fitternity,Early-Stage Funding,2000000.0,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,Mumbai,Healthcare & Life Sciences,2018.0,Undisclosed
48,Keito,Early-Stage Funding,584000.0,Building an Intelligent Digital Assistant.,2018,Pune,IT & Technology,2018.0,Undisclosed
49,Tolet for Students,Early-Stage Funding,73000.0,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,Jodhpur,Travel & Tourism,2018.0,Undisclosed
50,Chai Kings,Early-Stage Funding,292000.0,Chai Kings is a tea retail chain,2018,Chennai,Consumer Goods,2018.0,Undisclosed
51,Dainik Jagran,Early-Stage Funding,584000.0,Dainik Jagran is a media and communications group.,2018,Kanpur,Consumer Goods,2018.0,Undisclosed
52,Playtoome,Early-Stage Funding,292000.0,Playtoome is a live entertainment destination,2018,Bangalore,Media & Entertainment,2018.0,Undisclosed
53,ONGO Framework,Special Funding Types,1000000.0,ONGO Framework is a B2B IT and digital solution provider.,2018,Hyderabad,IT & Technology,2018.0,Undisclosed
54,Notesgen,Early-Stage Funding,182500.0,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,New Delhi,Business Services,2018.0,Undisclosed
55,Arogya MedTech,Early-Stage Funding,219000.0,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,Kolkata,Healthcare & Life Sciences,2018.0,Undisclosed
56,Propshop24,Early-Stage Funding,500000.0,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,Mumbai,Retail,2018.0,Undisclosed
57,myUpchar,Mid-Stage Funding,5000000.0,To bring health issues to people in their language.,2018,New Delhi,Healthcare & Life Sciences,2018.0,Undisclosed
58,MissMalini Entertainment,Early-Stage Funding,1518400.0,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,Mumbai,Media & Entertainment,2018.0,Undisclosed
59,Rooter,Early-Stage Funding,657000.0,Rooter is a mobile-based platform,2018,India,Sports,2018.0,Undisclosed
60,ZestMoney,Mid-Stage Funding,13400000.0,Zest is India's first completely automated consumer digital lending platform.,2018,Bangalore,Financial Services,2018.0,Undisclosed
61,alphaics Corporation,Early-Stage Funding,584000.0,Advancing AI compute,2018,Bangalore,IT & Technology,2018.0,Undisclosed
62,MyDentistChoice,Early-Stage Funding,500000.0,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,Hyderabad,Healthcare & Life Sciences,2018.0,Undisclosed
63,Sattviko,Special Funding Types,4000000.0,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,New Delhi,Retail,2018.0,Undisclosed
64,Sensibull,Early-Stage Funding,365000.0,Investment Management Platform,2018,Bangalore,IT & Technology,2018.0,Undisclosed
65,Bombay Shaving Company,Mid-Stage Funding,584000.0,Bombay Shaving Company is a Men's grooming startup,2018,New Delhi,Consumer Goods,2018.0,Undisclosed
66,MedCords,Early-Stage Funding,385440.0,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,Pune,Healthcare & Life Sciences,2018.0,Undisclosed
67,University Living,Early-Stage Funding,584000.0,University Living is an online global student housing marketplace.,2018,New Delhi,Education,2018.0,Undisclosed
68,&ME,Early-Stage Funding,584000.0,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,Bangalore,Healthcare & Life Sciences,2018.0,Undisclosed
69,Enakshi,Early-Stage Funding,116800.0,Enakshi is an online apparel brand for women.,2018,Ahmedabad,Consumer Goods,2018.0,Undisclosed
70,Ultraviolette Automotive,Mid-Stage Funding,876.0,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,Bangalore,IT & Technology,2018.0,Undisclosed
71,Inthree Access,Mid-Stage Funding,4000000.0,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,Chennai,IT & Technology,2018.0,Undisclosed
72,BUGWORKS Research India,Mid-Stage Funding,9000000.0,BUGWORKS is a drug discovery company.,2018,Bangalore,Business Services,2018.0,Undisclosed
73,Guardian.in,Early-Stage Funding,584000.0,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,Mumbai,Healthcare & Life Sciences,2018.0,Undisclosed
74,PrestLoans,Early-Stage Funding,100000.0,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,New Delhi,Financial Services,2018.0,Undisclosed
75,Wimoxez,Early-Stage Funding,20000.0,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,Hyderabad,IT & Technology,2018.0,Undisclosed
76,India Accelerator,Special Funding Types,4000000.0,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,Gurugram,Business Services,2018.0,Undisclosed
77,HappyEMI,Early-Stage Funding,1000000.0,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,Bangalore,Financial Services,2018.0,Undisclosed
78,Wishup,Early-Stage Funding,584000.0,Premium Personal Assistance service,2018,Azadpur,IT & Technology,2018.0,Undisclosed
79,Hansel.io,Mid-Stage Funding,4000000.0,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,Bangalore,IT & Technology,2018.0,Undisclosed
80,Propelld,Early-Stage Funding,250000.0,Propelld is a student education financing platform.,2018,Bangalore,Financial Services,2018.0,Undisclosed
81,PivotRoots,Mid-Stage Funding,584000.0,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,Mumbai,Business Services,2018.0,Undisclosed
82,ZiffyHomes,Early-Stage Funding,120000.0,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,New Delhi,Real Estate,2018.0,Undisclosed
83,Carmesi,Early-Stage Funding,496400.0,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,Gurugram,Healthcare & Life Sciences,2018.0,Undisclosed
84,OckyPocky,Special Funding Types,4000000.0,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,Haryana,Media & Entertainment,2018.0,Undisclosed
85,Racetrack,Early-Stage Funding,4993200.0,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,Bangalore,Media & Entertainment,2018.0,Undisclosed
86,WHR,Early-Stage Funding,584000.0,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,Pune,IT & Technology,2018.0,Undisclosed
87,Asteria Aerospace,Early-Stage Funding,584000.0,Asteria Aerospace is a robotics and artificial intelligence company.,2018,Bangalore,Transportation & Logistics,2018.0,Undisclosed
88,FabAlley,Mid-Stage Funding,8760000.0,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,Noida,Consumer Goods,2018.0,Undisclosed
89,Tranzmeo,Early-Stage Funding,584000.0,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,Kochi,Education,2018.0,Undisclosed
90,SBI Life,Other Funding Types,511000.0,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,Mumbai,Financial Services,2018.0,Undisclosed
91,Studds Accessories,Other Funding Types,14600000.0,Studds Accessories is a scooter accessories service provider in India,2018,Faridabad,Retail,2018.0,Undisclosed
92,Design Cafe,Mid-Stage Funding,29200000.0,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,Bangalore,Consumer Goods,2018.0,Undisclosed
93,NoPaperForms Solutions Pvt. Ltd.,Mid-Stage Funding,584000.0,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,New Delhi,IT & Technology,2018.0,Undisclosed
94,Rays Power Infra,Other Funding Types,29200000.0,Rays Power Infra is a leading integrated Solar Power Company.,2018,Jaipur,Energy,2018.0,Undisclosed
95,AuthMetrik,Special Funding Types,4000000.0,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,Gurugram,IT & Technology,2018.0,Undisclosed
96,Khidki,Early-Stage Funding,584000.0,Vernacular Social Network Focused on Town Level Content and Interactions,2018,Bangalore,IT & Technology,2018.0,Undisclosed
97,LetsTransport,Mid-Stage Funding,14600000.0,Lets transport is a logistics solution provider.,2018,Bangalore,Travel & Tourism,2018.0,Undisclosed
98,Next Digital Solutions,Special Funding Types,1460.0,Next Digital Solutions is website design & Digital Marketing development company.,2018,Kota,IT & Technology,2018.0,Undisclosed
99,Portea Medical,Special Funding Types,3650000.0,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,Bangalore,Healthcare & Life Sciences,2018.0,Undisclosed
100,Aavas Financiers,Other Funding Types,29200000.0,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,Jaipur,Business Services,2018.0,Undisclosed
101,Swiggy,Late-Stage Funding,584000.0,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,Bangalore,IT & Technology,2018.0,Undisclosed
102,Milkbasket,Mid-Stage Funding,584000.0,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,Haryana,IT & Technology,2018.0,Undisclosed
103,Nutrisattva (Proliva),Special Funding Types,4000000.0,Nutrisattva is a protein innovation compan,2018,Anand,Healthcare & Life Sciences,2018.0,Undisclosed
104,Toppr,Late-Stage Funding,584000.0,Toppr.com is an online preparation platform for entrance exams in India.,2018,Mumbai,Business Services,2018.0,Undisclosed
105,Jagaran Microfin,Special Funding Types,8030000.0,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,Kolkata,Financial Services,2018.0,Undisclosed
106,Vivriti Capital,Other Funding Types,511000.0,Vivriti Capital is an online platform for institutional debt in India.,2018,Chennai,Business Services,2018.0,Undisclosed
107,Be U Salons,Early-Stage Funding,438000.0,Be U is India's first subscription based Salon Chain.,2018,New Delhi,Retail,2018.0,Undisclosed
108,Impact Guru,Mid-Stage Funding,584000.0,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,Mumbai,Healthcare & Life Sciences,2018.0,Undisclosed
109,MobiKwik,Late-Stage Funding,3504000.0,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,Gurugram,Business Services,2018.0,Undisclosed
110,Stones2Milestones,Early-Stage Funding,584000.0,Stones2milestones is a Gurgaon Based Learning Company.,2018,Gurugram,Education,2018.0,Undisclosed
111,Generico,Mid-Stage Funding,584000.0,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,Mumbai,Healthcare & Life Sciences,2018.0,Undisclosed
112,Adiuvo Diagnostics,Early-Stage Funding,584000.0,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,Chennai,Healthcare & Life Sciences,2018.0,Undisclosed
113,DataTrained,Early-Stage Funding,1752000.0,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,Bangalore,Education,2018.0,Undisclosed
114,OneAssist,Special Funding Types,4000000.0,OneAssist is a protection & assistance services platform.,2018,Mumbai,IT & Technology,2018.0,Undisclosed
115,Satin Creditcare Network Limited (SCNL),Other Funding Types,511000.0,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,New Delhi,Financial Services,2018.0,Undisclosed
116,APAC Financial Services,Other Funding Types,36500000.0,APAC Financial Services is a financial services platform.,2018,Mumbai,Business Services,2018.0,Undisclosed
117,Moglix,Late-Stage Funding,584000.0,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,Noida,IT & Technology,2018.0,Undisclosed
118,SEDEMAC Mechatronics,Other Funding Types,511000.0,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,Mumbai,Energy,2018.0,Undisclosed
119,MadGuy Labs,Other Funding Types,511000.0,MadGuy Labs is a Online Test-prep Platform.,2018,Hyderabad,Education,2018.0,Undisclosed
120,Dee Dee Labs,Early-Stage Funding,584000.0,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,Pune,Business Services,2018.0,Undisclosed
121,FLEECA,Early-Stage Funding,584000.0,FLEECA is a Tyre Care Provider company.,2018,Jaipur,Consumer Goods,2018.0,Undisclosed
122,Shop101,Mid-Stage Funding,584000.0,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,Mumbai,IT & Technology,2018.0,Undisclosed
123,FeedMyPockets,Early-Stage Funding,642400.0,On Demand Staffing Platform,2018,Bangalore,Business Services,2018.0,Undisclosed
124,Housejoy,Mid-Stage Funding,584000.0,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,Bangalore,IT & Technology,2018.0,Undisclosed
125,Ambee,Special Funding Types,4000000.0,Ambee is an Environment analytics startup.,2018,Bangalore,IT & Technology,2018.0,Undisclosed
126,FoodBuddy,Early-Stage Funding,876000.0,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,Belgaum,Consumer Goods,2018.0,Undisclosed
127,Ninjacart,Mid-Stage Funding,36500000.0,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,Bangalore,Business Services,2018.0,Undisclosed
128,Olly Smart Credit Card,Early-Stage Funding,584000.0,Olly is a digital credit card for India's working masses and young people.,2018,New Delhi,Financial Services,2018.0,Undisclosed
129,Zestl,Early-Stage Funding,584000.0,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,Pune,IT & Technology,2018.0,Undisclosed
130,BYJU’S,Other Funding Types,511000.0,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,Bangalore,Education,2018.0,Undisclosed
131,Wakefit,Other Funding Types,9490000.0,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,Bangalore,Retail,2018.0,Undisclosed
132,Hero Electric,Other Funding Types,23360000.0,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,New Delhi,Manufacturing,2018.0,Undisclosed
133,Pentation Analytics,Early-Stage Funding,584000.0,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,Mumbai,Financial Services,2018.0,Undisclosed
134,PerkFinance,Early-Stage Funding,584000.0,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,Bangalore,Financial Services,2018.0,Undisclosed
135,Roposo,Late-Stage Funding,584000.0,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,Gurugram,Media & Entertainment,2018.0,Undisclosed
136,Plum Goodness,Mid-Stage Funding,584000.0,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,Thane,Healthcare & Life Sciences,2018.0,Undisclosed
137,Drstore,Early-Stage Funding,584000.0,Drstore is a exclusive e- commerce platform.,2018,Mumbai,Healthcare & Life Sciences,2018.0,Undisclosed
138,Wow Venue,Other Funding Types,511000.0,Wow Venue is an online platform.,2018,Mumbai,Media & Entertainment,2018.0,Undisclosed
139,Chizel,Early-Stage Funding,584000.0,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,Pune,Business Services,2018.0,Undisclosed
140,OTO Capital,Early-Stage Funding,730000.0,OTO Capital is a platform that allows you to own a car faster than ever.,2018,Mumbai,Transportation & Logistics,2018.0,Undisclosed
141,Boodmo,Early-Stage Funding,1022000.0,boodmo.com - large online marketplace for auto parts in India.,2018,Gurugram,Retail,2018.0,Undisclosed
142,Khabri,Early-Stage Funding,584000.0,Khabri is a digital audio platform for content in vernacular.,2018,Haryana,Media & Entertainment,2018.0,Undisclosed
143,MyNewCar.in,Other Funding Types,511000.0,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,Gurugram,Retail,2018.0,Undisclosed
144,HalaPlay Technologies,Mid-Stage Funding,584000.0,A daily fantasy sports platform.,2018,Bangalore,Sports,2018.0,Undisclosed
145,PlanetSpark,Early-Stage Funding,233600.0,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,Gurugram,Education,2018.0,Undisclosed
146,WheelsEMI,Mid-Stage Funding,584000.0,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,Pune,Financial Services,2018.0,Undisclosed
147,Forum for Innovation Incubation Research and Entrepreneurship,Special Funding Types,1496500.0,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,Margão,Financial Services,2018.0,Undisclosed
148,OYO,Late-Stage Funding,584000.0,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,Gurugram,Travel & Tourism,2018.0,Undisclosed
149,Quikr,Special Funding Types,8030000.0,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,Bangalore,Real Estate,2018.0,Undisclosed
150,Tabono,Early-Stage Funding,584000.0,Tabono is a one stop environment for all your fitness solution.,2018,Gurugram,Sports,2018.0,Undisclosed
151,LearnApp,Early-Stage Funding,292000.0,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,Noida,IT & Technology,2018.0,Undisclosed
152,Shopkirana,Other Funding Types,511000.0,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,Indore,Retail,2018.0,Undisclosed
153,Fric Bergen,Other Funding Types,511000.0,Fric Bergen is a leader in the specialty food industry.,2018,Alwar,Consumer Goods,2018.0,Undisclosed
154,Articbot,Special Funding Types,17520.0,Articbot is a conversational AI platform for automated customer support and lead generation,2018,Kannur,IT & Technology,2018.0,Undisclosed
155,BuildSupply,Mid-Stage Funding,3650000.0,India’s most advanced ERP system for the real estate,2018,Gurugram,Real Estate,2018.0,Undisclosed
156,Fusion Microfinance,Late-Stage Funding,75920000.0,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,New Delhi,Business Services,2018.0,Undisclosed
157,Any time Doctor,Special Funding Types,4000000.0,Anytime Doctor is a Software company.,2018,Chennai,IT & Technology,2018.0,Undisclosed
158,Go Payments,Other Funding Types,511000.0,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,Mumbai,IT & Technology,2018.0,Undisclosed
159,Guiddoo World,Early-Stage Funding,584000.0,We build In-Destination Experiences!,2018,Mumbai,Travel & Tourism,2018.0,Undisclosed
160,ION Energy,Other Funding Types,511000.0,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,Mumbai,Manufacturing,2018.0,Undisclosed
161,UnoTag,Early-Stage Funding,584000.0,SaaS to verify counterfeit,2018,Bangalore,IT & Technology,2018.0,Undisclosed
162,CivilCops,Early-Stage Funding,584000.0,Gov-Tech,2018,Gurugram,IT & Technology,2018.0,Undisclosed
163,Rockmetric,Special Funding Types,4000000.0,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,Mumbai,IT & Technology,2018.0,Undisclosed
164,Classworks India,Other Funding Types,1460.0,"Saas, Web App, Mobile App, School Education",2018,Chennai,IT & Technology,2018.0,Undisclosed
165,Snapmint,Early-Stage Funding,584000.0,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,Mumbai,Financial Services,2018.0,Undisclosed
166,artbandhu,Early-Stage Funding,584000.0,Ai platform for Art and Creative Community,2018,Bangalore,Media & Entertainment,2018.0,Undisclosed
167,Survaider,Early-Stage Funding,500000.0,Stethoscope for customer feedback !,2018,Bangalore,IT & Technology,2018.0,Undisclosed
168,Credy,Early-Stage Funding,1400000.0,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,Bangalore,Financial Services,2018.0,Undisclosed
169,iChamp,Early-Stage Funding,5000000.0,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,Gurugram,Education,2018.0,Undisclosed
170,Qandle,Early-Stage Funding,1200000.0,A cloud-based HR management and employee engagement platform.,2018,Gurugram,IT & Technology,2018.0,Undisclosed
171,Avishkaar Box,Early-Stage Funding,730000.0,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,New Delhi,Consumer Goods,2018.0,Undisclosed
